candidate_number,name,party_id,district_id,nic
C001,Alice Brown,P01,D01,111222333V
C002,Charlie Davis,P02,D01,444555666V
C003,Diana Wilson,P01,D02,777888999V
C004,Yasmin Smith,P07,D18,572714432V
C005,Nina Wilson,P02,D09,981519798V
C006,Hannah Martin,P01,D05,617731361V
C007,Victor Anderson,P09,D03,104967186V
C008,Nina Davis,P08,D02,601438712V
C009,Bob Lewis,P04,D07,147881312V
C010,Victor Taylor,P14,D11,301283832V
C011,Edward Lee,P11,D05,229549838V
C012,Julia Lee,P15,D19,242462379V
C013,Tina Thomas,P17,D25,347146468V
C014,Uma Robinson,P18,D09,576937509V
C015,Quentin Brown,P19,D24,258387007V
C016,Rachel Wilson,P12,D25,877422424V
C017,Kevin Jackson,P17,D24,819735016V
C018,Quentin Jackson,P15,D03,412425515V
C019,Charlie Brown,P01,D03,819098497V
C020,Sam Martinez,P11,D11,955421344V
C021,Nina Thompson,P14,D02,422897534V
C022,Yasmin Martin,P07,D10,274324880V
C023,Kevin Lee,P12,D01,836502132V
C024,Julia Jackson,P10,D18,779909685V
C025,Quentin Anderson,P12,D16,630531485V
C026,Yasmin Jackson,P12,D16,531355255V
C027,Ian Clark,P14,D10,621304882V
C028,Zane Martinez,P01,D25,988633644V
C029,Hannah Wilson,P08,D02,916566927V
C030,Rachel Martin,P08,D05,398045057V
C031,Julia Walker,P13,D21,708740731V
C032,Tina Wilson,P10,D15,237177148V
C033,Xavier Davis,P10,D10,548814092V
C034,Hannah Robinson,P15,D12,821313059V
C035,Hannah Rodriguez,P05,D04,988785503V
C036,Hannah Robinson,P03,D07,849334785V
C037,Rachel Brown,P11,D16,900074692V
C038,Quentin Lee,P13,D15,613139760V
C039,Alice Harris,P01,D10,151412811V
C040,Edward Jackson,P13,D21,436473480V
C041,Wendy Martin,P15,D05,193387815V
C042,Nina Thomas,P03,D08,742643186V
C043,Uma Jackson,P03,D22,953607031V
C044,Charlie Robinson,P14,D18,994096480V
C045,Rachel Taylor,P01,D13,938748302V
C046,Charlie Davis,P18,D15,888086888V
C047,Yasmin Wilson,P05,D09,407099662V
C048,Michael Anderson,P11,D18,939546503V
C049,Wendy Thomas,P18,D22,549815163V
C050,Nina Lewis,P08,D03,737364484V
C051,Tina Jackson,P01,D20,800619406V
C052,Oscar Clark,P09,D11,522097301V
C053,Xavier Rodriguez,P19,D18,612315575V
C054,Oscar White,P18,D14,408927959V
C055,Zane Martin,P05,D02,472583609V
C056,Rachel Smith,P06,D05,947912128V
C057,Fiona Garcia,P18,D10,580776574V
C058,Xavier Lee,P05,D05,869159522V
C059,Ian Davis,P11,D16,912316289V
C060,Laura Lee,P19,D17,608555913V
C061,Charlie Thompson,P13,D20,650730042V
C062,Diana Lewis,P14,D21,221196198V
C063,Yasmin Thomas,P01,D08,738656118V
C064,Alice Walker,P18,D20,552543778V
C065,Fiona Smith,P07,D16,247477548V
C066,Bob Jackson,P20,D15,663480040V
C067,Laura Martin,P16,D13,839647977V
C068,Uma White,P05,D10,588648362V
C069,Alice Garcia,P17,D07,670250932V
C070,Yasmin Walker,P02,D25,582979712V
C071,Kevin Anderson,P03,D12,576457352V
C072,Julia Taylor,P20,D17,559066043V
C073,Kevin Thompson,P20,D14,985851870V
C074,Ian Lewis,P09,D01,359792590V
C075,Edward Taylor,P10,D04,848997696V
C076,Victor Brown,P07,D24,671134340V
C077,Wendy Garcia,P08,D01,375361337V
C078,Fiona Garcia,P14,D24,549136241V
C079,Diana Anderson,P13,D08,558453580V
C080,Sam Smith,P14,D01,762527036V
C081,Edward Davis,P14,D12,419575648V
C082,Alice Thomas,P19,D02,653777949V
C083,Zane Thomas,P12,D22,790610564V
C084,Xavier Martinez,P18,D21,619028970V
C085,Oscar Thompson,P15,D23,565519259V
C086,Michael Robinson,P18,D10,216227159V
