voting_number,name,nic,district_id
V0001,Michael Wilson,559147195V,D03
V0002,Alice Smith,402138544V,D06
V0003,Julia Harris,702914389V,D24
V0004,Julia Walker,695245711V,D19
V0005,Quentin Thomas,540670080V,D08
V0006,Wendy White,230261881V,D24
V0007,Ian Martinez,117362096V,D05
V0008,Hannah Walker,203895584V,D25
V0009,George Garcia,370451197V,D03
V0010,Xavier Martin,293468349V,D01
V0011,Kevin Martinez,271438056V,D13
V0012,Tina Smith,509188887V,D23
V0013,Diana Harris,447391541V,D23
V0014,Hannah Thompson,266531101V,D10
V0015,Wendy Garcia,592232071V,D23
V0016,Rachel Brown,899582029V,D17
V0017,Wendy White,542733598V,D18
V0018,Xavier White,215920828V,D18
V0019,Fiona Lee,267297102V,D07
V0020,Diana Wilson,276898075V,D17
V0021,Edward Harris,391074376V,D09
V0022,Kevin Robinson,292133271V,D11
V0023,Kevin Wilson,341928681V,D25
V0024,Hannah Davis,988203106V,D15
V0025,Hannah Wilson,764981158V,D04
V0026,Hannah Martinez,318439864V,D22
V0027,Julia Davis,604307862V,D24
V0028,Quentin Wilson,922339405V,D22
V0029,Charlie Martinez,469311649V,D19
V0030,Edward Lee,273114345V,D04
V0031,Nina Garcia,997392343V,D01
V0032,Laura Wilson,521976011V,D23
V0033,Quentin Smith,436103370V,D13
V0034,Ian White,620414500V,D01
V0035,Diana Martinez,781311259V,D16
V0036,Yasmin Taylor,176861487V,D01
V0037,Bob Clark,299512736V,D23
V0038,Paula Lee,670048397V,D13
V0039,Bob Clark,897800533V,D23
V0040,Xavier Brown,157771051V,D20
V0041,Xavier Garcia,718168661V,D03
V0042,Quentin Garcia,112193786V,D06
V0043,Charlie Brown,605211794V,D22
V0044,Charlie Martinez,406279062V,D06
V0045,Julia Robinson,351185181V,D05
V0046,Nina Clark,120370369V,D07
V0047,Julia Garcia,446418807V,D19
V0048,Victor Rodriguez,370803051V,D18
V0049,Zane Anderson,972043080V,D04
V0050,Wendy Lewis,143018281V,D04
V0051,Sam Harris,617411483V,D23
V0052,Xavier Anderson,872979388V,D05
V0053,Xavier Brown,989962864V,D15
V0054,Hannah Rodriguez,302526569V,D03
V0055,Diana Davis,196728366V,D18
V0056,Bob Thompson,646780476V,D25
V0057,Xavier Robinson,577472703V,D04
V0058,Uma White,916405985V,D22
V0059,Charlie Anderson,709149423V,D23
V0060,Victor Lee,265960591V,D17
V0061,Diana Garcia,809080262V,D24
V0062,Uma Jackson,957196642V,D04
V0063,Bob Martin,121574632V,D16
V0064,George Harris,614902834V,D25
V0065,Xavier Davis,493898710V,D09
V0066,Hannah Rodriguez,461475720V,D01
V0067,Alice Lee,641469367V,D04
V0068,Alice Martinez,887295061V,D22
V0069,Alice Clark,126456002V,D01
V0070,Victor Rodriguez,854491073V,D16
V0071,Fiona Harris,132848287V,D09
V0072,Wendy Lewis,828370766V,D14
V0073,Tina Lewis,645923929V,D04
V0074,Uma Lee,355705080V,D14
V0075,Charlie Davis,499982812V,D02
V0076,Rachel Smith,480925581V,D15
V0077,George White,317029914V,D13
V0078,Edward Robinson,567517951V,D25
V0079,Charlie Lee,225405751V,D08
V0080,Sam Rodriguez,394261360V,D11
V0081,Hannah White,956633994V,D17
V0082,Yasmin Davis,679922005V,D18
V0083,Yasmin Martinez,703982452V,D19
V0084,Bob Thomas,265761730V,D17
V0085,Laura Anderson,641190846V,D13
V0086,Yasmin Martin,749811877V,D12
V0087,Xavier Anderson,864712261V,D22
V0088,Rachel Jackson,955483438V,D11
V0089,Rachel Martin,320251504V,D24
V0090,Xavier Wilson,126132862V,D02
V0091,Yasmin Martin,765582530V,D15
V0092,Diana White,699384096V,D18
V0093,Diana Brown,247243358V,D03
V0094,Tina Rodriguez,929281427V,D14
V0095,Julia Garcia,235522929V,D21
V0096,Wendy Lewis,545930707V,D04
V0097,Charlie Taylor,552874421V,D11
V0098,Xavier Martinez,101792401V,D18
V0099,Edward Walker,244049813V,D16
V0100,George Martin,731581336V,D03
V0101,Sam Thompson,896680029V,D07
V0102,Bob Robinson,272007985V,D17
V0103,Nina Rodriguez,865832649V,D06
V0104,Xavier Thompson,718289172V,D13
V0105,Edward Thompson,243130710V,D12
V0106,Alice Rodriguez,843156472V,D09
V0107,Oscar Jackson,901493391V,D18
V0108,Bob Lee,470243182V,D19
V0109,Victor Wilson,463827081V,D18
V0110,Edward Lewis,316490426V,D12
V0111,Laura Martinez,309192239V,D14
V0112,Bob Wilson,481657919V,D25
V0113,Paula White,397007785V,D05
V0114,Kevin Rodriguez,989782083V,D23
V0115,Paula Garcia,335783816V,D02
V0116,Edward Brown,953129829V,D16
V0117,Oscar Davis,983715870V,D04
V0118,Julia Brown,432676214V,D22
V0119,Michael Brown,609413779V,D23
V0120,Hannah Lee,718892435V,D09
V0121,Uma Lewis,718004884V,D08
V0122,Charlie Wilson,152194604V,D16
V0123,Tina Brown,658500896V,D05
V0124,Paula Thompson,957601653V,D09
V0125,Michael Davis,976149986V,D02
V0126,Kevin Thompson,743154731V,D20
V0127,Xavier Robinson,610582317V,D25
V0128,Edward Rodriguez,659812124V,D04
V0129,Zane Thomas,967442822V,D02
V0130,Bob Anderson,126031290V,D05
V0131,Edward Robinson,977417846V,D03
V0132,Fiona Martinez,415593693V,D12
V0133,Bob Rodriguez,372018218V,D14
V0134,Wendy Thomas,984666086V,D19
V0135,Tina Thompson,181873106V,D03
V0136,Charlie Wilson,321813432V,D02
V0137,Sam Lee,749487800V,D24
V0138,Ian Jackson,432741750V,D07
V0139,Fiona Harris,949097165V,D01
V0140,Quentin Lewis,317134337V,D20
V0141,Nina Lewis,370119283V,D14
V0142,Julia Martin,727033798V,D01
V0143,Paula Clark,803941609V,D23
V0144,Ian Brown,555762598V,D16
V0145,Victor Davis,483291830V,D02
V0146,Fiona Smith,484522233V,D09
V0147,Charlie Anderson,247848613V,D18
V0148,Laura Harris,854070241V,D04
V0149,Julia Clark,401910744V,D03
V0150,Oscar Wilson,526907478V,D08
V0151,Alice Thomas,259854911V,D11
V0152,Rachel Harris,915306238V,D14
V0153,Fiona Davis,481775935V,D05
V0154,Diana Smith,856080966V,D05
V0155,Tina Davis,662015395V,D18
V0156,Fiona Rodriguez,678965362V,D25
V0157,Alice Harris,913306949V,D15
V0158,Wendy Smith,515666868V,D05
V0159,Nina Smith,392815453V,D16
V0160,Charlie Walker,983291228V,D11
V0161,Alice Rodriguez,873636714V,D19
V0162,Julia Thompson,335189469V,D23
V0163,Julia Harris,947627604V,D08
V0164,Yasmin Walker,458411768V,D09
V0165,Paula Lewis,641901547V,D08
V0166,Laura Wilson,546579273V,D04
V0167,Zane Brown,271878084V,D01
V0168,Laura Garcia,780930437V,D06
V0169,Oscar White,870060517V,D16
